rank,blog_code,category,impressions,clicks,ctr
583,4348,travel:low,100,0,0.000000
584,4351,travel:passing,1422,0,0.000000
585,4352,travel:hidden,159,0,0.000000
586,4356,travel:hidden,75,0,0.000000
587,4382,travel:passing,77,0,0.000000
588,4383,travel:low,143,0,0.000000
589,4391,travel:passing,217,0,0.000000
590,4395,travel:passing,91,0,0.000000
591,4396,travel:passing,422,0,0.000000
592,4402,travel:passing,133,0,0.000000
593,4414,travel:killer,85,0,0.000000
594,4415,travel:passing,50,0,0.000000
595,4419,travel:passing,167,0,0.000000
596,4425,travel:hidden,86,0,0.000000
597,4432,travel:low,122,0,0.000000
598,4437,travel:passing,583,0,0.000000
599,4444,travel:passing,847,0,0.000000
600,4445,travel:passing,129,0,0.000000
601,4460,travel:passing,199,0,0.000000
602,4463,travel:low,160,0,0.000000
603,4481,travel:passing,412,0,0.000000
604,4501,unmatched:published(non-travel),114,0,0.000000
605,4503,travel:killer,220,0,0.000000
606,4508,unmatched:published(non-travel),178,0,0.000000
607,4510,travel:passing,186,0,0.000000
608,4514,travel:passing,313,0,0.000000
609,4524,travel:passing,53,0,0.000000
610,4527,travel:passing,274,0,0.000000
611,4533,travel:passing,363,0,0.000000
612,4546,unmatched:published(non-travel),509,0,0.000000
613,4548,travel:passing,59,0,0.000000
614,4550,travel:killer,132,0,0.000000
615,4552,travel:passing,167,0,0.000000
616,4558,travel:passing,2734,0,0.000000
617,4559,travel:killer,67,0,0.000000
618,4560,travel:killer,138,0,0.000000
619,4561,travel:killer,72,0,0.000000
620,4562,unmatched:published(non-travel),112,0,0.000000
621,4566,travel:low,100,0,0.000000
622,4569,travel:killer,256,0,0.000000
623,4570,travel:passing,1598,0,0.000000
624,4576,travel:passing,268,0,0.000000
625,4577,travel:passing,154,0,0.000000
626,4589,travel:passing,811,0,0.000000
627,4594,travel:killer,138,0,0.000000
628,4603,travel:passing,337,0,0.000000
629,4606,travel:killer,92,0,0.000000
630,4613,travel:hidden,54,0,0.000000
631,4614,travel:killer,51,0,0.000000
632,4616,travel:passing,675,0,0.000000
633,4629,travel:passing,59,0,0.000000
634,4635,travel:passing,129,0,0.000000
635,4658,travel:passing,657,0,0.000000
636,4659,travel:killer,179,0,0.000000
637,4672,travel:low,60,0,0.000000
638,4674,unmatched:unpublished(404 likely),195,0,0.000000
639,4683,travel:passing,281,0,0.000000
640,4698,travel:passing,90,0,0.000000
641,4700,unmatched:published(non-travel),291,0,0.000000
642,4702,travel:killer,101,0,0.000000
643,4703,travel:passing,50,0,0.000000
644,4710,travel:killer,377,0,0.000000
645,4713,unmatched:published(non-travel),111,0,0.000000
646,4716,travel:passing,167,0,0.000000
647,4736,travel:passing,80,0,0.000000
648,4739,travel:low,86,0,0.000000
649,4741,travel:passing,85,0,0.000000
650,4746,travel:killer,82,0,0.000000
651,4749,travel:killer,76,0,0.000000
652,4751,unmatched:unpublished(404 likely),129,0,0.000000
653,4753,travel:passing,566,0,0.000000
654,4758,travel:passing,988,0,0.000000
655,4760,travel:hidden,58,0,0.000000
656,4766,travel:low,121,0,0.000000
657,4768,travel:passing,1233,0,0.000000
658,4770,travel:killer,1365,0,0.000000
659,4772,travel:killer,319,0,0.000000
660,4786,travel:passing,124,0,0.000000
661,4792,travel:low,82,0,0.000000
662,4794,travel:low,237,0,0.000000
663,4797,travel:low,53,0,0.000000
664,4802,travel:passing,324,0,0.000000
665,4813,travel:killer,72,0,0.000000
666,4835,travel:low,159,0,0.000000
667,4840,travel:passing,399,0,0.000000
668,4844,travel:passing,185,0,0.000000
669,4852,travel:low,107,0,0.000000
670,4854,travel:low,107,0,0.000000
671,4855,travel:passing,234,0,0.000000
672,4868,travel:passing,152,0,0.000000
673,4874,unmatched:published(non-travel),157,0,0.000000
674,4877,travel:passing,125,0,0.000000
675,4898,travel:passing,529,0,0.000000
676,4899,travel:killer,233,0,0.000000
677,4909,travel:passing,192,0,0.000000
678,4915,travel:passing,259,0,0.000000
679,4919,travel:low,138,0,0.000000
680,4927,travel:passing,124,0,0.000000
681,4951,travel:low,364,0,0.000000
682,4958,unmatched:published(non-travel),212,0,0.000000
683,4959,travel:killer,68,0,0.000000
684,4961,travel:passing,1332,0,0.000000
685,4964,travel:passing,461,0,0.000000
686,4971,travel:hidden,118,0,0.000000
687,4977,travel:low,87,0,0.000000
688,4980,travel:low,76,0,0.000000
689,4983,travel:low,89,0,0.000000
690,4988,travel:hidden,128,0,0.000000
691,4989,travel:passing,156,0,0.000000
692,4992,travel:low,62,0,0.000000
693,5009,travel:passing,185,0,0.000000
694,5011,travel:killer,165,0,0.000000
695,5017,travel:hidden,102,0,0.000000
696,5031,travel:low,76,0,0.000000
697,5035,travel:low,661,0,0.000000
698,5037,unmatched:published(non-travel),102,0,0.000000
699,5044,travel:passing,1139,0,0.000000
700,5045,travel:low,76,0,0.000000
701,5048,unmatched:published(non-travel),89,0,0.000000
702,5057,travel:low,138,0,0.000000
703,5060,travel:passing,83,0,0.000000
704,5061,travel:passing,87,0,0.000000
705,5062,travel:passing,532,0,0.000000
706,5067,travel:passing,650,0,0.000000
707,5068,travel:passing,238,0,0.000000
708,5073,travel:passing,181,0,0.000000
709,5076,travel:passing,68,0,0.000000
710,5077,travel:low,51,0,0.000000
711,5084,travel:passing,916,0,0.000000
712,5085,travel:low,242,0,0.000000
713,5090,travel:low,229,0,0.000000
714,5097,unmatched:published(non-travel),774,0,0.000000
715,5099,travel:killer,188,0,0.000000
716,5100,travel:passing,1138,0,0.000000
717,5113,travel:passing,55,0,0.000000
718,5115,travel:low,59,0,0.000000
719,5116,travel:low,102,0,0.000000
720,5122,travel:killer,125,0,0.000000
721,5128,travel:passing,301,0,0.000000
722,5130,travel:passing,286,0,0.000000
723,5139,unmatched:published(non-travel),122,0,0.000000
724,5143,travel:passing,154,0,0.000000
725,5145,travel:low,85,0,0.000000
726,5148,travel:killer,104,0,0.000000
727,5154,travel:passing,110,0,0.000000
728,5156,unmatched:published(non-travel),56,0,0.000000
729,5161,travel:passing,86,0,0.000000
730,5163,travel:low,53,0,0.000000
731,5176,unmatched:published(non-travel),268,0,0.000000
732,5178,travel:passing,76,0,0.000000
733,5179,travel:low,103,0,0.000000
734,5187,travel:killer,86,0,0.000000
735,5201,travel:passing,192,0,0.000000
736,5204,travel:passing,459,0,0.000000
737,5206,travel:passing,107,0,0.000000
738,5213,unmatched:published(non-travel),898,0,0.000000
739,5214,travel:passing,136,0,0.000000
740,5222,travel:low,61,0,0.000000
741,5256,travel:low,82,0,0.000000
742,5257,travel:passing,64,0,0.000000
743,5263,travel:passing,913,0,0.000000
744,5266,travel:passing,147,0,0.000000
745,5267,travel:passing,502,0,0.000000
746,5282,travel:low,57,0,0.000000
747,5286,travel:hidden,60,0,0.000000
748,5289,travel:low,58,0,0.000000
749,5294,travel:passing,694,0,0.000000
750,5310,travel:passing,195,0,0.000000
751,5321,travel:low,106,0,0.000000
752,5326,travel:passing,227,0,0.000000
753,5332,travel:killer,262,0,0.000000
754,5343,travel:passing,109,0,0.000000
755,5351,travel:low,52,0,0.000000
756,5352,travel:low,75,0,0.000000
757,5353,travel:passing,1155,0,0.000000
758,5357,travel:passing,279,0,0.000000
759,5359,travel:passing,187,0,0.000000
760,5376,travel:passing,83,0,0.000000
761,5377,travel:low,357,0,0.000000
762,5379,travel:killer,117,0,0.000000
763,5384,travel:passing,51,0,0.000000
764,5386,travel:passing,3069,0,0.000000
765,5404,unmatched:published(non-travel),141,0,0.000000
766,5407,unmatched:published(non-travel),54,0,0.000000
767,5410,travel:passing,441,0,0.000000
768,5412,travel:passing,1318,0,0.000000
769,5420,travel:passing,239,0,0.000000
770,5433,travel:passing,248,0,0.000000
771,5439,travel:passing,127,0,0.000000
772,5446,travel:passing,58,0,0.000000
773,5448,unmatched:published(non-travel),408,0,0.000000
774,5486,travel:passing,172,0,0.000000
775,5495,travel:passing,142,0,0.000000
776,5507,travel:passing,392,0,0.000000
777,5512,unmatched:published(non-travel),72,0,0.000000
778,5518,travel:killer,499,0,0.000000
779,5523,travel:passing,823,0,0.000000
780,5525,travel:hidden,82,0,0.000000
781,5559,travel:hidden,51,0,0.000000
782,5563,travel:low,160,0,0.000000
783,5592,travel:low,62,0,0.000000
784,5603,travel:low,53,0,0.000000
785,5610,unmatched:published(non-travel),80,0,0.000000
786,5614,travel:low,136,0,0.000000
787,5621,travel:hidden,159,0,0.000000
788,5624,travel:passing,282,0,0.000000
789,5649,travel:low,92,0,0.000000
790,5651,travel:low,57,0,0.000000
791,5661,travel:low,173,0,0.000000
792,5665,travel:low,138,0,0.000000
793,5667,travel:low,106,0,0.000000
794,5674,travel:low,63,0,0.000000
795,5679,travel:low,74,0,0.000000
796,5680,travel:passing,925,0,0.000000
797,5681,travel:passing,354,0,0.000000
798,5682,travel:low,279,0,0.000000
799,5683,travel:low,159,0,0.000000
800,5684,travel:passing,997,0,0.000000
801,5689,travel:passing,247,0,0.000000
802,5696,travel:passing,55,0,0.000000
803,5708,travel:passing,5908,0,0.000000
804,5711,travel:passing,275,0,0.000000
805,5713,unmatched:unpublished(404 likely),446,0,0.000000
806,5731,travel:passing,464,0,0.000000
807,5734,travel:passing,288,0,0.000000
808,5751,travel:passing,475,0,0.000000
809,5752,travel:passing,340,0,0.000000
810,5756,travel:passing,87,0,0.000000
811,5761,travel:passing,117,0,0.000000
812,5762,travel:low,107,0,0.000000
813,5765,travel:passing,422,0,0.000000
814,5784,travel:passing,249,0,0.000000
815,5799,travel:passing,99,0,0.000000
816,5824,travel:low,97,0,0.000000
817,5829,travel:passing,206,0,0.000000
818,5839,travel:low,195,0,0.000000
819,5846,travel:passing,194,0,0.000000
820,5852,travel:low,72,0,0.000000
821,5853,travel:low,64,0,0.000000
822,5857,travel:passing,89,0,0.000000
823,5873,travel:passing,727,0,0.000000
824,5891,travel:low,57,0,0.000000
825,5908,travel:low,142,0,0.000000
826,5909,travel:low,216,0,0.000000
827,5913,travel:low,60,0,0.000000
828,5962,travel:low,147,0,0.000000
829,5986,travel:passing,809,0,0.000000
830,5989,travel:passing,203,0,0.000000
831,6044,travel:killer,146,0,0.000000
832,6048,travel:low,124,0,0.000000
833,6105,travel:low,362,0,0.000000
834,6115,travel:passing,404,0,0.000000
835,6116,travel:low,216,0,0.000000
836,6118,travel:passing,252,0,0.000000
837,6130,travel:low,54,0,0.000000
838,6167,travel:low,74,0,0.000000
839,6204,travel:passing,1380,0,0.000000
840,6277,travel:low,60,0,0.000000
841,6308,travel:low,80,0,0.000000
842,6338,unmatched:published(non-travel),769,0,0.000000
843,6345,travel:low,89,0,0.000000
844,6365,travel:low,90,0,0.000000
845,6388,travel:low,53,0,0.000000
846,6407,travel:passing,213,0,0.000000
847,6415,travel:low,77,0,0.000000
848,6456,travel:low,516,0,0.000000
849,6484,travel:low,61,0,0.000000
850,6492,travel:passing,636,0,0.000000
851,6497,travel:passing,117,0,0.000000
852,6501,travel:passing,184,0,0.000000
853,6502,travel:passing,120,0,0.000000
854,6525,unmatched:published(non-travel),906,0,0.000000
855,6546,unmatched:published(non-travel),117,0,0.000000
856,6560,unmatched:published(non-travel),139,0,0.000000
857,6590,travel:passing,139,0,0.000000
858,6626,travel:low,54,0,0.000000
859,6629,unmatched:published(non-travel),64,0,0.000000
860,6632,unmatched:published(non-travel),77,0,0.000000
861,6637,travel:low,89,0,0.000000
862,6638,unmatched:published(non-travel),92,0,0.000000
863,6655,travel:passing,527,0,0.000000
864,6690,travel:passing,260,0,0.000000
865,6702,travel:passing,129,0,0.000000
866,6721,travel:passing,862,0,0.000000
867,6752,travel:passing,79,0,0.000000
868,6755,travel:passing,62,0,0.000000
869,6760,travel:low,278,0,0.000000
870,6762,travel:passing,104,0,0.000000
871,6765,travel:passing,77,0,0.000000
872,6772,unmatched:published(non-travel),743,0,0.000000
873,6790,travel:low,53,0,0.000000
874,6829,travel:passing,130,0,0.000000
875,6854,travel:passing,221,0,0.000000
876,6863,unmatched:published(non-travel),58,0,0.000000
877,6871,travel:low,51,0,0.000000
878,6881,unmatched:published(non-travel),307,0,0.000000
879,6883,unmatched:published(non-travel),95,0,0.000000
880,6896,unmatched:published(non-travel),177,0,0.000000
881,6906,travel:low,57,0,0.000000
882,6912,travel:low,61,0,0.000000
883,6918,travel:passing,276,0,0.000000
884,6931,unmatched:published(non-travel),150,0,0.000000
885,6942,travel:low,69,0,0.000000
886,6943,travel:passing,444,0,0.000000
887,6946,travel:low,131,0,0.000000
888,6957,travel:passing,126,0,0.000000
889,6978,travel:passing,54,0,0.000000
890,6987,unmatched:published(non-travel),57,0,0.000000
891,7004,travel:passing,68,0,0.000000
892,7011,unmatched:unpublished(404 likely),64,0,0.000000
893,7026,unmatched:published(non-travel),292,0,0.000000
894,7079,travel:low,62,0,0.000000
895,7081,unmatched:published(non-travel),80,0,0.000000
896,7097,unmatched:published(non-travel),77,0,0.000000
897,7109,travel:low,97,0,0.000000
898,7115,unmatched:published(non-travel),163,0,0.000000
899,7124,unmatched:published(non-travel),67,0,0.000000
900,7132,travel:low,293,0,0.000000
901,7134,unmatched:published(non-travel),412,0,0.000000
902,7138,unmatched:published(non-travel),187,0,0.000000
903,7157,unmatched:published(non-travel),57,0,0.000000
904,7179,travel:low,72,0,0.000000
905,7208,travel:low,50,0,0.000000
906,7209,travel:low,74,0,0.000000
907,7229,travel:passing,116,0,0.000000
908,7239,unmatched:published(non-travel),55,0,0.000000
909,7241,travel:low,180,0,0.000000
910,7242,unmatched:unpublished(404 likely),141,0,0.000000
911,7258,travel:low,53,0,0.000000
912,7278,travel:passing,1465,0,0.000000
913,7324,unmatched:unpublished(404 likely),70,0,0.000000
914,7329,unmatched:unpublished(404 likely),58,0,0.000000
915,7330,unmatched:unpublished(404 likely),58,0,0.000000
916,7334,unmatched:unpublished(404 likely),74,0,0.000000
917,7343,unmatched:unpublished(404 likely),241,0,0.000000
918,7363,unmatched:unpublished(404 likely),57,0,0.000000
919,7377,unmatched:unpublished(404 likely),475,0,0.000000
920,7379,unmatched:unpublished(404 likely),272,0,0.000000
921,7380,unmatched:unpublished(404 likely),76,0,0.000000
922,7409,unmatched:unpublished(404 likely),86,0,0.000000
923,7426,unmatched:unpublished(404 likely),85,0,0.000000
924,7431,unmatched:unpublished(404 likely),83,0,0.000000
925,7444,unmatched:unpublished(404 likely),51,0,0.000000
926,7449,unmatched:unpublished(404 likely),67,0,0.000000
927,7450,unmatched:unpublished(404 likely),407,0,0.000000
928,7484,unmatched:unpublished(404 likely),287,0,0.000000
929,7490,unmatched:unpublished(404 likely),54,0,0.000000
930,7506,unmatched:unpublished(404 likely),215,0,0.000000
931,7513,unmatched:unpublished(404 likely),73,0,0.000000
932,7521,unmatched:unpublished(404 likely),316,0,0.000000
933,7535,unmatched:unpublished(404 likely),57,0,0.000000
934,7536,unmatched:unpublished(404 likely),131,0,0.000000
935,7547,unmatched:unpublished(404 likely),62,0,0.000000
936,7553,unmatched:unpublished(404 likely),246,0,0.000000
937,7565,unmatched:unpublished(404 likely),364,0,0.000000
938,7575,unmatched:unpublished(404 likely),322,0,0.000000
939,7580,unmatched:unpublished(404 likely),81,0,0.000000
940,7589,unmatched:unpublished(404 likely),53,0,0.000000
941,7607,unmatched:unpublished(404 likely),70,0,0.000000
942,7624,unmatched:unpublished(404 likely),70,0,0.000000
943,7631,unmatched:unpublished(404 likely),89,0,0.000000
944,7640,unmatched:unpublished(404 likely),698,0,0.000000
945,7643,unmatched:unpublished(404 likely),50,0,0.000000
946,7672,unmatched:unpublished(404 likely),188,0,0.000000
947,7700,unmatched:unpublished(404 likely),255,0,0.000000
948,7712,unmatched:unpublished(404 likely),310,0,0.000000
949,7715,unmatched:unpublished(404 likely),114,0,0.000000
950,7717,unmatched:unpublished(404 likely),159,0,0.000000
951,7736,unmatched:unpublished(404 likely),85,0,0.000000
952,7743,unmatched:unpublished(404 likely),67,0,0.000000
953,7761,unmatched:unpublished(404 likely),115,0,0.000000
954,7762,unmatched:unpublished(404 likely),56,0,0.000000
955,7773,unmatched:unpublished(404 likely),312,0,0.000000
956,7780,unmatched:unpublished(404 likely),96,0,0.000000
957,7817,unmatched:unpublished(404 likely),114,0,0.000000
958,7821,unmatched:unpublished(404 likely),64,0,0.000000
959,7833,unmatched:unpublished(404 likely),106,0,0.000000
960,7835,unmatched:unpublished(404 likely),106,0,0.000000
961,7838,unmatched:unpublished(404 likely),81,0,0.000000
962,7844,unmatched:unpublished(404 likely),93,0,0.000000
963,7855,unmatched:unpublished(404 likely),277,0,0.000000
964,7859,unmatched:unpublished(404 likely),260,0,0.000000
965,7876,unmatched:unpublished(404 likely),108,0,0.000000
966,7886,unmatched:unpublished(404 likely),96,0,0.000000
967,7892,unmatched:unpublished(404 likely),54,0,0.000000
968,7913,unmatched:unpublished(404 likely),64,0,0.000000
969,7920,unmatched:unpublished(404 likely),113,0,0.000000
970,7929,unmatched:unpublished(404 likely),723,0,0.000000
971,7957,unmatched:unpublished(404 likely),86,0,0.000000
972,7960,unmatched:unpublished(404 likely),198,0,0.000000
973,7961,unmatched:unpublished(404 likely),68,0,0.000000
974,7968,unmatched:unpublished(404 likely),104,0,0.000000
975,7969,unmatched:unpublished(404 likely),53,0,0.000000
976,7988,unmatched:unpublished(404 likely),159,0,0.000000
977,8035,unmatched:unpublished(404 likely),807,0,0.000000
978,8051,unmatched:unpublished(404 likely),182,0,0.000000
979,8057,unmatched:unpublished(404 likely),76,0,0.000000
980,8062,unmatched:unpublished(404 likely),67,0,0.000000
981,8068,unmatched:unpublished(404 likely),61,0,0.000000
982,8071,unmatched:unpublished(404 likely),93,0,0.000000
983,8088,unmatched:unpublished(404 likely),75,0,0.000000
984,8094,unmatched:unpublished(404 likely),99,0,0.000000
985,8114,unmatched:unpublished(404 likely),65,0,0.000000
986,8123,unmatched:unpublished(404 likely),61,0,0.000000
987,8128,unmatched:unpublished(404 likely),122,0,0.000000
988,8131,unmatched:unpublished(404 likely),74,0,0.000000
989,8138,unmatched:unpublished(404 likely),85,0,0.000000
990,8144,unmatched:unpublished(404 likely),50,0,0.000000
991,8146,unmatched:unpublished(404 likely),370,0,0.000000
992,8148,unmatched:unpublished(404 likely),232,0,0.000000
993,8151,unmatched:unpublished(404 likely),549,0,0.000000
994,8196,unmatched:unpublished(404 likely),94,0,0.000000
995,8198,unmatched:unpublished(404 likely),121,0,0.000000
996,8199,unmatched:unpublished(404 likely),68,0,0.000000
997,8208,unmatched:unpublished(404 likely),192,0,0.000000
998,8214,unmatched:unpublished(404 likely),184,0,0.000000
999,8220,unmatched:unpublished(404 likely),1392,0,0.000000
1000,8238,unmatched:unpublished(404 likely),74,0,0.000000
1001,8239,unmatched:unpublished(404 likely),114,0,0.000000
1002,8251,unmatched:unpublished(404 likely),57,0,0.000000
1003,8257,unmatched:unpublished(404 likely),92,0,0.000000
1004,8273,unmatched:unpublished(404 likely),194,0,0.000000
1005,8285,unmatched:unpublished(404 likely),96,0,0.000000
1006,8286,unmatched:unpublished(404 likely),191,0,0.000000
1007,8312,unmatched:unpublished(404 likely),108,0,0.000000
1008,8318,unmatched:unpublished(404 likely),694,0,0.000000
1009,8321,unmatched:unpublished(404 likely),1139,0,0.000000
1010,8355,unmatched:unpublished(404 likely),788,0,0.000000
1011,8379,unmatched:unpublished(404 likely),163,0,0.000000
1012,8394,unmatched:unpublished(404 likely),1965,0,0.000000
1013,8397,unmatched:unpublished(404 likely),129,0,0.000000
1014,8399,unmatched:unpublished(404 likely),149,0,0.000000
1015,8425,unmatched:unpublished(404 likely),95,0,0.000000
1016,8480,unmatched:unpublished(404 likely),81,0,0.000000
1017,8482,unmatched:unpublished(404 likely),588,0,0.000000
1018,8496,unmatched:unpublished(404 likely),58,0,0.000000
1019,8499,unmatched:unpublished(404 likely),187,0,0.000000
1020,8501,unmatched:unpublished(404 likely),163,0,0.000000
1021,8508,unmatched:unpublished(404 likely),88,0,0.000000
1022,8520,unmatched:unpublished(404 likely),208,0,0.000000
1023,8536,unmatched:unpublished(404 likely),71,0,0.000000
1024,8549,unmatched:unpublished(404 likely),78,0,0.000000
1025,8551,unmatched:unpublished(404 likely),450,0,0.000000
1026,8554,unmatched:unpublished(404 likely),78,0,0.000000
1027,8560,unmatched:unpublished(404 likely),212,0,0.000000
1028,8566,unmatched:unpublished(404 likely),534,0,0.000000
1029,8575,unmatched:unpublished(404 likely),147,0,0.000000
1030,8577,unmatched:unpublished(404 likely),217,0,0.000000
1031,8578,unmatched:unpublished(404 likely),269,0,0.000000
1032,8589,unmatched:unpublished(404 likely),653,0,0.000000
1033,8594,unmatched:unpublished(404 likely),365,0,0.000000
1034,8604,unmatched:unpublished(404 likely),61,0,0.000000
1035,8619,unmatched:unpublished(404 likely),518,0,0.000000
1036,8631,unmatched:unpublished(404 likely),1364,0,0.000000
1037,8632,unmatched:unpublished(404 likely),371,0,0.000000
1038,8638,unmatched:unpublished(404 likely),1306,0,0.000000
1039,8643,unmatched:unpublished(404 likely),55,0,0.000000
1040,8649,unmatched:unpublished(404 likely),64,0,0.000000
1041,8653,unmatched:unpublished(404 likely),84,0,0.000000
1042,8677,unmatched:unpublished(404 likely),176,0,0.000000
1043,8680,unmatched:unpublished(404 likely),121,0,0.000000
1044,8702,unmatched:unpublished(404 likely),466,0,0.000000
1045,8724,unmatched:unpublished(404 likely),50,0,0.000000
1046,8731,unmatched:unpublished(404 likely),62,0,0.000000
1047,8739,unmatched:unpublished(404 likely),64,0,0.000000
1048,8740,unmatched:unpublished(404 likely),404,0,0.000000
1049,8745,unmatched:unpublished(404 likely),72,0,0.000000
1050,8753,unmatched:unpublished(404 likely),500,0,0.000000
1051,8754,unmatched:unpublished(404 likely),67,0,0.000000
1052,8756,unmatched:unpublished(404 likely),86,0,0.000000
1053,8757,unmatched:unpublished(404 likely),107,0,0.000000
1054,8759,unmatched:unpublished(404 likely),67,0,0.000000
1055,8765,unmatched:unpublished(404 likely),772,0,0.000000
1056,8789,unmatched:unpublished(404 likely),173,0,0.000000
1057,8795,unmatched:unpublished(404 likely),67,0,0.000000
1058,8796,unmatched:unpublished(404 likely),132,0,0.000000
1059,8819,unmatched:unpublished(404 likely),60,0,0.000000
1060,8822,unmatched:unpublished(404 likely),86,0,0.000000
1061,8823,unmatched:unpublished(404 likely),169,0,0.000000
1062,8825,unmatched:unpublished(404 likely),211,0,0.000000
1063,8850,unmatched:unpublished(404 likely),124,0,0.000000
1064,8855,unmatched:unpublished(404 likely),290,0,0.000000
1065,8859,unmatched:unpublished(404 likely),75,0,0.000000
1066,8863,unmatched:unpublished(404 likely),200,0,0.000000
1067,8870,unmatched:unpublished(404 likely),105,0,0.000000
1068,8881,unmatched:unpublished(404 likely),50,0,0.000000
1069,8885,unmatched:unpublished(404 likely),166,0,0.000000
1070,8886,unmatched:unpublished(404 likely),454,0,0.000000
1071,8888,unmatched:unpublished(404 likely),87,0,0.000000
1072,8896,unmatched:unpublished(404 likely),78,0,0.000000
1073,8916,unmatched:unpublished(404 likely),68,0,0.000000
1074,8937,unmatched:unpublished(404 likely),104,0,0.000000
1075,8940,unmatched:unpublished(404 likely),152,0,0.000000
1076,8947,unmatched:unpublished(404 likely),53,0,0.000000
1077,8954,unmatched:unpublished(404 likely),146,0,0.000000
1078,8955,unmatched:unpublished(404 likely),81,0,0.000000
1079,8957,unmatched:unpublished(404 likely),64,0,0.000000
1080,8962,unmatched:unpublished(404 likely),71,0,0.000000
1081,8967,unmatched:unpublished(404 likely),64,0,0.000000
1082,8984,unmatched:unpublished(404 likely),152,0,0.000000
1083,8987,unmatched:unpublished(404 likely),110,0,0.000000
1084,8997,unmatched:unpublished(404 likely),135,0,0.000000
1085,9000,unmatched:unpublished(404 likely),104,0,0.000000
1086,9001,unmatched:unpublished(404 likely),77,0,0.000000
1087,9006,unmatched:unpublished(404 likely),99,0,0.000000
1088,9017,unmatched:unpublished(404 likely),215,0,0.000000
1089,9018,unmatched:unpublished(404 likely),50,0,0.000000
1090,9021,unmatched:unpublished(404 likely),88,0,0.000000
1091,9029,unmatched:unpublished(404 likely),310,0,0.000000
1092,9050,unmatched:unpublished(404 likely),113,0,0.000000
1093,9055,unmatched:unpublished(404 likely),173,0,0.000000
1094,9056,unmatched:unpublished(404 likely),90,0,0.000000
1095,9057,unmatched:unpublished(404 likely),68,0,0.000000
1096,9061,unmatched:unpublished(404 likely),272,0,0.000000
1097,9064,unmatched:unpublished(404 likely),156,0,0.000000
1098,9077,unmatched:unpublished(404 likely),258,0,0.000000
1099,9082,unmatched:unpublished(404 likely),78,0,0.000000
1100,9085,unmatched:unpublished(404 likely),406,0,0.000000
1101,9095,unmatched:unpublished(404 likely),58,0,0.000000
1102,9102,unmatched:unpublished(404 likely),78,0,0.000000
1103,9103,unmatched:unpublished(404 likely),834,0,0.000000
1104,9111,unmatched:unpublished(404 likely),58,0,0.000000
1105,9119,unmatched:unpublished(404 likely),163,0,0.000000
1106,9127,unmatched:unpublished(404 likely),195,0,0.000000
1107,9137,unmatched:unpublished(404 likely),205,0,0.000000
1108,9140,unmatched:unpublished(404 likely),208,0,0.000000
1109,9142,unmatched:unpublished(404 likely),502,0,0.000000
1110,9147,unmatched:unpublished(404 likely),62,0,0.000000
1111,9163,unmatched:unpublished(404 likely),423,0,0.000000
1112,9177,unmatched:unpublished(404 likely),163,0,0.000000
1113,9191,unmatched:unpublished(404 likely),160,0,0.000000
1114,9206,unmatched:unpublished(404 likely),117,0,0.000000
1115,9207,unmatched:unpublished(404 likely),156,0,0.000000
1116,9209,unmatched:unpublished(404 likely),54,0,0.000000
1117,9216,unmatched:unpublished(404 likely),83,0,0.000000
1118,9229,unmatched:unpublished(404 likely),126,0,0.000000
1119,9238,unmatched:unpublished(404 likely),115,0,0.000000
1120,9243,unmatched:unpublished(404 likely),152,0,0.000000
1121,9252,unmatched:unpublished(404 likely),165,0,0.000000
1122,9275,unmatched:unpublished(404 likely),276,0,0.000000
1123,9299,unmatched:unpublished(404 likely),401,0,0.000000
1124,9322,unmatched:unpublished(404 likely),78,0,0.000000
1125,9333,unmatched:unpublished(404 likely),76,0,0.000000
1126,9350,unmatched:unpublished(404 likely),113,0,0.000000
1127,9368,unmatched:unpublished(404 likely),208,0,0.000000
1128,9370,unmatched:unpublished(404 likely),70,0,0.000000
1129,9371,unmatched:unpublished(404 likely),71,0,0.000000
1130,9382,unmatched:unpublished(404 likely),343,0,0.000000
1131,9403,unmatched:unpublished(404 likely),128,0,0.000000
1132,9405,unmatched:unpublished(404 likely),224,0,0.000000
1133,9406,unmatched:unpublished(404 likely),314,0,0.000000
1134,9410,unmatched:unpublished(404 likely),55,0,0.000000
1135,9416,unmatched:unpublished(404 likely),235,0,0.000000
1136,9424,unmatched:unpublished(404 likely),57,0,0.000000
1137,9434,unmatched:unpublished(404 likely),76,0,0.000000
1138,9435,unmatched:unpublished(404 likely),192,0,0.000000
1139,9443,unmatched:unpublished(404 likely),68,0,0.000000
1140,9444,unmatched:unpublished(404 likely),162,0,0.000000
1141,9459,unmatched:unpublished(404 likely),137,0,0.000000
1142,9462,unmatched:unpublished(404 likely),82,0,0.000000
1143,9464,unmatched:unpublished(404 likely),482,0,0.000000
1144,9471,unmatched:unpublished(404 likely),122,0,0.000000
1145,9473,unmatched:unpublished(404 likely),58,0,0.000000
1146,9483,unmatched:unpublished(404 likely),387,0,0.000000
1147,9487,unmatched:unpublished(404 likely),53,0,0.000000
1148,9492,unmatched:unpublished(404 likely),153,0,0.000000
1149,9519,unmatched:unpublished(404 likely),164,0,0.000000
1150,9522,unmatched:unpublished(404 likely),100,0,0.000000
1151,9538,unmatched:unpublished(404 likely),247,0,0.000000
1152,9539,unmatched:unpublished(404 likely),126,0,0.000000
